Region,BEIS School ID,School.Name,Division,Legislative.District,Province,City or Municipality,Barangay,Latitude,Longitude, Kinder , Grade 1 , Grade 2 , Grade 3 , Grade 4 , Grade 5 , Grade 6 , Grade 7 , Grade 8 , Grade 9 , Grade 10 , Grade 11 , Grade 12 , Total Seats 
BARMM,405801,De La Vida College,#N/A,1st District,Maguindanao del Norte,Cotabato City,Poblacion 4,7,124, -   , -   , -   , -   , -   , -   , -   ,18,14,15,22, -   , -   ,69
Region IX,409721,"Sunshine World College of Technology, Inc.  Kalasan",#N/A,1st District,Zamboanga Del Sur,Pagadian City,Kalasan,7.8860677,123.448542, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,1,2,3
BARMM,406061,La Purisima Elementary/High School,#N/A,1st District,Province of Lanao del Sur,Municipality of Wao,Barangay Western,7.63898,124.72359,9,11,16,12,18,20,14,107,94,70,85,87,76,619
BARMM,406060,Claret School of Tumahubong,#N/A,Lone District,Province of Basilan,Municipality of Sumisip ,Barangay of Tumahubong ,14.57929,12106494, -   , -   , -   , -   , -   , -   , -   ,138,115,80,67,72,71,543
Region VI,403971,"St. Vincent's High School of San Remegio, Inc.",Antique,Lone District ,Province of Antique,Municipality of San Remigio,Barangay Poblacion,1,1, -   , -   , -   , -   , -   , -   , -   ,125,96,99,105,106,95,626
BARMM,405799,"Albert Einstein School, Inc.",#N/A,1st District,Province of Maguindanao del Norte,City of Cotabato,Barangay RH VII,7.20061,124.2435,25,40,40,40,40,40,40,50,50,50,50,40,40,545
Region IX,458006,COMTECH Institute,Isabela City,Lone District ,BARMM - BASILAN,CITY OF ISABELA (Capital),Barangay Port Area ,6.70776,121.96867, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,60,60,120
BARMM,410104,"Creche Integrated Studies Centre, Inc.",#N/A,West District,Tawi - Tawi,Simunul,Ubol,90,180,25,21,16,19,18,15,8, -   , -   , -   , -   , -   , -   ,122
Region IX,409327,Gold Learning & Technical Institute Incorporated,#N/A,Lone district ,Province of Zamboanga del Sur,Pagadian City,Sto. Niño,7.8273591,123.4280779,6, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,6
Region IX,409720,"Sunshine World College of Technology, Inc.",#N/A,1st District,Zamboanga Del Sur,Pagadian City,Kalasan,7.8860677,123.448542, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,1,2,3
