Region,BEIS School ID,School.Name,Division,Legislative.District,Province,City or Municipality,Barangay,Latitude,Longitude, Kinder , Grade 1 , Grade 2 , Grade 3 , Grade 4 , Grade 5 , Grade 6 , Grade 7 , Grade 8 , Grade 9 , Grade 10 , Grade 11 , Grade 12 , Total Seats 
Region III,410541,Magalang St. Nicolas School Corp.,Pampanga,1,Pampanga,Magalang,San Jose,15.19257,120.63147, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,30,30,60
Region IX,404874,"The Good Shepherd School of Imelda, Inc.",Zamboanga Sibugay,IMELDA DISTRICT,PROVINCE OF ZAMBOANGA SIBUGAY,MUNICIPALITY OF IMELDA,BARANGAY STA. FE,7.64023,122.93725, -   , -   , -   , -   , -   , -   , -   ,63,45,46,35,83,67,339
Region VII,404317,Northern Cebu Colleges,Bogo City,4th District,Cebu,City of Bogo,San Vicente,11.05251,124.00368, -   , -   , -   , -   , -   , -   , -   ,200,160,120,160,80,80,800
Region IV-A (CALABARZON),424083,Haven of Wisdom Academy,Imus City,III,Province of Cavite,City of Imus,Barangay Alapan 1-B,14.412888,120.919813,30,30,20,20,20,30,30,45,45,45,40,40,40,435
NCR,484562,"Preparatory Education for Early Learners, Inc.",Marikina City,District 2,NCR,Marikinba City,Concepcion Uno,143939.1,1210547.8,100, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,100
Region VII,492521,Saving Faith Christian School Inc.,Talisay City,District 4,Province of Cebu,City of Talisay,Barangay Tangke,10.2545,123.8466,35, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,35
Region IV-A (CALABARZON),494012,"Talitha Cumi Academy, Inc.",Antipolo City,Distric 1B,Province of Rizal,City of Antipolo,Barangay San Isidro,14.61629,121.18567,20,20,8,6,10,8,6,10,10,10,10, -   , -   ,118
Region XI,405397,"Serapion C. Basalo Memorial Colleges, Inc.",Davao del Sur,LONE DISTRICT,PROVINCE OF DAVAO DEL SUR,MUNICIPALITY OF KIBLAWAN,BARANGAY POBLACION,6.624453,125.255295, -   , -   , -   , -   , -   , -   , -   ,80,80,60,70,100,100,490
Region VII,447021,"Cebu Sacred Heart College, Inc. - Carcar",Carcar City,District I,Province of Cebu,City of Carcar,Barangay Valladolid,10.10613,123.65731,11,13,12,4,12,11,6,22,16,8,9,11,8,143
Region XI,409952,"La Escuela Global Academy Inc. (Formerly: Hofmann Global School of Davao, Inc.)",Davao City,1st congressional district,Province of Daval del Sur,City of Davao,Brgy. Talomo,7.05401,125.56064,37,28,27,23,23,24,9,21,20,12,11, -   , -   ,235
Region V,403644,St. Luke Christian School & Learning Center,Camarines Norte,DAET NORTH DISTRICT,CAMARINES NORTE,DAET,BARANGAY LAG ON,14.12060041,122.9477356,50,55,55,55,50,50,35, -   , -   , -   , -   , -   , -   ,350
Region IV-A (CALABARZON),401644,"Holy Family Montessori of San Jose Batangas, Inc.",Batangas,Congressional District 4,Province of Batangas,Municipality of San Jose,Barangay 2,14.57929,121.06494,118,46,79,62,32,43,28,122,77,76,75,56,57,871
Region XI,464002,"The Kiddie Math Science Grade School of Comval, Inc.",Davao De Oro,District 2,Province of Davao de Oro,Municipality of Nabunturan,Barangay Poblacion,7.60316,125.966302,26,10,16,17,11,12,15, -   , -   , -   , -   , -   , -   ,107
Region IV-A (CALABARZON),401905,Christ the King College of Cavite - Main,Dasmarinas City,4,Province of Cavite,City of Dasmarinas,Barangay Salawag,14.324596,120.979169,60,60,60,60,60,60,60,120,120,120,120, -   , -   ,900
Region IV-A (CALABARZON),424833,"Casa Parterres De Broderie School and Development Center, Inc",Imus City,2nd District,Province of Cavite,City of Imus,Barangay Greengate,14.37368,120.92222,30,30,30,30,25,25,25, -   , -   , -   , -   , -   , -   ,195
Region XI,405343,"Maryknoll School of Maniki, Inc.",Davao del Norte,1 District,Province of Davao del Norte,Municipality of Kapalong,Barangay Maniki,7.58785,125.70685,4,8,6,6,9,3,4,35,39,23,36,36,46,255
Region VII,447012,Constancio P. Go Memorial Learning Center,Cebu,4th,Cebu,Daanbantayan,Poblacion,11.24913,124.00176,18,20,20,20,20,20,25,30,25,25,25,30,30,308
Region IV-A (CALABARZON),410924,SMARTKIDS SCHOOL LIAN INC.,Batangas,Lian,Province of Batangas,Municipality of Lian,Barangay 1,14.03644,120.65137,11,12,12,11,6,6,10,5, -   , -   , -   , -   , -   ,73
Region VII,447093,Bogo Christian Learning and Development School,Bogo City,4th District,Province of Cebu,City of Bogo,Barangay Sudlunon,11.04953,124.00763,12,7,3,9,6,5,6, -   , -   , -   , -   , -   , -   ,48
Region IV-A (CALABARZON),410367,Datacom Institute of Computer Technology Corporation,Cavite,I,Cavite,Rosario,Tejeros Convention,14.40537,120.85974, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,40,40,80
Region IV-A (CALABARZON),425544,Frobelian College of Science and Technology,Rizal,Lone District,Province of Rizal,Municipality of Rodriguez,Barangay San Jose,14.73648,121.12832,30,30,30,30, -   , -   , -   , -   , -   , -   , -   , -   , -   ,120
Region VII,447056,"Dominican School of Cebu, Inc.",Cebu,6th district,Province of Cebu,Municipality of Consolacion,Barangay Pitogo,10.38426,123.97028,40,40,40,40,40,40,40,40,40,40,40,40,40,520
Region IV-A (CALABARZON),402126,"Dr. Espero Educational Foundation Colleges, Inc.",Imus City,3rd,Province of Cavite,City of Imus,Barangay Pasong Buaya 2,14.389,120.96756,16,15,15,15,15,20,20,25,20,20,20, -   , -   ,201
Region VII,447053,"Westwind Learning Center, Inc.",Cebu,Province,Province of Cebu,Municipality of Asturias ,Barangay Poblacion,14.57929,950,57,23,12,16,20,17,16, -   , -   , -   , -   , -   , -   ,161
Region IV-A (CALABARZON),410074,DIVINITY INFINITY LEARNING CENTER,Cabuyao City,Second district,Province of Laguna,City of Cabuyao,Barangay Mamatid,14.24173,121.150315,25,25,25,25,25,25,25,20,20,20,20, -   , -   ,255
Region IX,406854,"West Prime Horizon Institute, Inc.",Pagadian City,District 1,Zamboanga del Sur,PAGADIAN CITY (Capital),San Francisco,14.57929,121.06494, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,700,700,1400
Region IV-A (CALABARZON),423511,ChristianKnights Academy,Batangas,Lemery,Batangas,Lemery,Palanas,13.89374,120.9069,15,10,12,13,15,16,7, -   ,9,1,3, -   , -   ,101
Region IV-A (CALABARZON),402142,Imus Unida Christian School Inc.,Imus City,3rd District,Province of Cavite,City of Imus,Barangay Poblacion 1B,14.4297809,120.9386498,38,38,49,50,50,50,50,111,111,111,111,160,160,1089
Region VII,450505,"St. Miguel Agustin Pro Learning Center, Inc.",Toledo City,3rd District,Province of Cebu,City of Toledo,Barangay Don Andres Soriano,10.39771,123.70305,25,30,20,40,30,30,30,40,40,40,40, -   , -   ,365
Region VII,408772,"King of Zion Christian Learning Center, Inc.",Cebu,5th District,Province of Cebu,Municipality of Liloan,Barangay Yati,10.39152,123.98215,50,35,25,25,35,20,20, -   , -   , -   , -   , -   , -   ,210
Region VII,410581,High Five Academy Inc.,Cebu,1st District,Province of  Cebu,Municipality of Minglanilla ,Barangay Tungkop,10.2539,123.8664,20, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,20
Region XI,405412,"Holy Cross of Sulop, Inc.",Davao del Sur,LONE,DAVAO DEL SUR,SULOP,POBLACION,6.59438,125.34494, -   , -   , -   , -   , -   , -   , -   ,76,98,58,67,45,45,389
Region IV-A (CALABARZON),401650,"JOSEPH MARELLO INSTITUTE, INC. (OBLATES OF ST. JOSEPH)",Batangas,IV,Province of Batangas,Municipality of San Juan,Barangay Poblacion,13.828389,121.394269,53,39,38,39,39,51,29,153,166,121,120,129,134,1111
Region IX,457508,Sovereign Lord Almighty (SOLA) Christian Academy,Dipolog City,Dipolog City District,Zamboanga del Norte,Dipolog City,Biasong,8.58792,123.34472,48, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,48
Region VII,446577,Kosian Mission School,Bohol,Congressional District 2,Province of Bohol,Municipality of Talibon,Barangay Sto. Nino,10.14458222,124.2862403,15,15,15,15,15,15,15,15,15,15,15,20,20,205
Region IX,404914,Jack & Jill Preschool and Grade School,Pagadian City,SAN JOSE,ZAMBOANGA DEL SUR,PAGADIAN CITY (Capital),SAN JOSE,7.82861,123.43717,110,80,50,50,50,50,50, -   , -   , -   , -   , -   , -   ,440
Region IV-A (CALABARZON),426508,E. Claris Prep School,Cavite City,District 1,Cavite,City of Cavite,38,14.483294,120.893712,20, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,20
Region IV-A (CALABARZON),424703,AVM FOUNDATION INC.,Laguna,Pagsanjan District,Province of Laguna,Municipality of Pagsanjan,Barangay Sampaloc,14.2696,121.444,75,25,50,25,25,25,25,50,50,50,50, -   , -   ,450
Region IV-A (CALABARZON),402192,Southern Phils. Institute of Science & Technology,Imus City,District 3,Province of Cavite,City of Imus,Barangay Anabu IIA,14.57929,121.06494,15,20,20,20,20,25,25,80,80,80,80,500,500,1465
Region VII,404280,University of Bohol,Tagbilaran City,1st District,Region VII,Tagbilaran City,Poblacion 2,9.64916,123.85225,34,30,26,37,36,40,37, -   , -   , -   , -   , -   , -   ,240
Region VII,447081,"Schildknecht School, Inc.",Cebu,6th District,Province of Cebu,Municipality of Consolacion,Nangka,10.37457201,123.966182,15,25,30,20,25,20,20,20,20,20,20,200,200,635
Region IV-A (CALABARZON),424029,Academia Primera School,Imus City,Third District ,Province of Cavite,Imus City,Anabu IIC,14,120,26,26,12,16,23,19,17,16,24,28,27, -   , -   ,234
Region VII,404295,"Bien Unido Academy, Inc.",Bohol,Bohol,Province of Bohol,Municipality of Bien Unido,Barangay Liberty,10.10865464,124.3686826, -   , -   , -   , -   , -   , -   , -   ,50,30,40,50,45,43,258
Region XI,408119,Matina Baptist Child Care and Learning Center,Davao City,1st ,Davao City,Davao CIty,Matina Crossing,7.05547,125.57705,23,12,8,13,12,9,9, -   , -   , -   , -   , -   , -   ,86
Region V,409419,"Renet Technological College, Inc.",Ligao City,Lone District ,Province of Albay ,Ligao City ,Barangay 55 ,13.23925,123.53828, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,98,69,167
Region VII,409126,Trinity Catholic School of Tagbilaran,Tagbilaran City,Manga District,Province of Bohol,City of Tagbilaran ,Barangay Manga,9.6933,123.86196, -   , -   , -   , -   , -   , -   , -   ,6,4,3,3, -   , -   ,16
Region VII,446626,"Alburquerque Hilltop Learning School, Inc.",Bohol,1st District,Province of Bohol,Municipality of Alburquerque ,Barangay Ponong,9.6203832,123.9534221,15,15,15,15,15,15,15, -   , -   , -   , -   , -   , -   ,105
Region VII,404567,"Colegio de la Inmaculada Concepcion - Mandaue, Inc.",Mandaue City,Lone District,Province of Cebu,City of Mandaue ,Barangay Tipolo,10.32959,123.93403,60,80,120,120,120,80,80,150,150,150,150,200,240,1700
Region XI,405414,"St. Mary's College Baganga, Inc.",Davao Oriental,DISTRICT 1,Davao Oriental,Baganga,BARANGAY CENTRAL POBLACION,7.57399,126.56153,25,35,35,35,35,35,35,100,100,100,100,100,100,835
Region IV-B (MIMAROPA),408651,PALAWAN SOFRONIO CHRISTIAN BIBLE BAPTIST ACADEMY INC.,Palawan,Sofronio Española ,Province of Palawan,Municipality of Sofronio Española ,Pulot Center ,8.963721,117.989467,25,18,20,20,20,20,15, -   , -   , -   , -   , -   , -   ,138
Region III,489530,"Creston Academy, Inc.",Tarlac City,2nd District,Tarlac,Tarlac City,Barangay San Rafael,15.46325,120.59838,60,60,90,60,60,65,60,80,80,80,80, -   , -   ,775
Region XI,405455,"Holy Cross College of Sasa, Inc.",Davao City,District 2,Davao del Sur,Davao City,Sasa,7.11726,125.65058, -   , -   , -   , -   , -   , -   , -   ,207,185,139,149,224,137,1041
Region V,434537,ST. RAPHAEL THE ARCHANGEL DIOCESAN SCHOOL,Masbate,East District ,Masbate,Aroroy,Poblacion ,12.5107522,123.3960131,20, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,20
Region V,403781,Masbate Southeastern Institute,Masbate,3rd,Masbate,Pio V. Corpus,Poblacion,11.883985,124.51252, -   , -   , -   , -   , -   , -   , -   ,30,30,30,30,30,30,180
Region IV-B (MIMAROPA),407966,Light of Faith Learning Center,Puerto Princesa City,District II,Palawan ,Puerto Princesa City ,Barangay San Jose,14.57929,121.06494,56,18,18, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,92
Region XI,464502,Quezon Memorial Institute of Technology of Kapalong,Davao del Norte,District 1,Province of Davao del Norte,Municipality of Kapalong ,Barangay Maniki ,7.58228,125.70706, -   , -   , -   , -   , -   , -   , -   ,48,54,47,37,65,75,326
Region IV-A (CALABARZON),401597,Lian Institute,Batangas,-,Batangas,Lian,Bungahan ,1403438,120.65275, -   , -   , -   , -   , -   , -   , -   ,300,280,300,280,217,267,1644
Region IV-B (MIMAROPA),431014,Montfort Academy(MA) Inc.,Romblon,Romblon,Romblon,Romblon,Lonos,12.570007,122.254181, -   , -   , -   , -   , -   , -   , -   ,43,39,33,46,112,109,382
Region III,409530,"Christ Yeshua Academy of Tarlac, Inc.",Tarlac City,District II,Province of Tarlac,City of Tarlac,Barangay San Francisco,15.426684,120.59598, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,50,50,100
Region IV-A (CALABARZON),408275,The Palmridge School Inc.,General Trias City,6th District,Province of Cavite,City of General Trias ,Barangay Santiago,14.38426,120.88845,49,60,49,38,42,44,29,47,21,23,13, -   , -   ,415
Region XI,405417,"St. Mary's Academy of Caraga, Inc.",Davao Oriental,1,Province of Davao Oriental,Municipality of Caraga,Barangay Poblacion,7.32844,126.56581, -   , -   , -   , -   , -   , -   , -   ,60,81,59,63,38,62,363
Region VII,404275,Holy Trinity School Foundation,Tagbilaran City,District 1,Bohol,City of Tagbilaran,Mansasa,9.63767,123.87146,13,4,5,9,4,8,8,11,13,8,4, -   , -   ,87
Region VII,409784,"Rizwoods Colleges, Inc.",Cebu,N/A,CEBU PROVINCE ,LILOAN,YATI,10.38991,123.97669, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,40,40,80
Region IV-B (MIMAROPA),431510,"Palawan Adventist School, Inc.",Puerto Princesa City,Puerto Princesa City,Palawan,Puerto Princesa City,Barangay Tanglaw,9.73566,118.7434786, -   , -   , -   , -   , -   , -   , -   ,35,35,35,35, -   , -   ,140
Region XI,405433,Berean Christian Academy of Davao,Davao City,2nd District,Province of Davao del Sur,City of Davao,Barangay Buhangin,7.11588826,125.6138471,15,20,20,20,20,20,20,20,20,20,20,20,20,255
Region IV-A (CALABARZON),401582,"OUR LADY OF CARMEL SCHOOL-A.R. OF CALATAGAN, INC.",Batangas,District I,Batangas,Calatagan,Barangay 4,13.8298,120.62928, -   , -   , -   , -   , -   , -   , -   ,72,36,28,36,32,36,240
Region IV-A (CALABARZON),411223,NATIONAL COLLEGE OF SCIENCE AND TECHNOLOGY (NCST) IMUS INC.,Imus City,3rd District of Cavite,Province of Cavite,City of Imus,Poblacion IV-C,14.4249,120.9322, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,270,40,310
Region IV-A (CALABARZON),415062,Casa Dei Bambini School,Cagayan,1st District,Province of Rizal,Municipality of Cainta,Barangay San Andres,14.55876,121.10125,12, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,12
Region IV-A (CALABARZON),402402,Marcelino Fule Memorial College,Laguna,3RD DISTRICT,PROVINCE OF LAGUNA,MUNICIPALITY OF ALAMINOS,BARANGAY I,14.06214002,121.2500103,11,13,13,9,8,7,5,33,41,31,62,20,44,297
Region IX,404878,"Ipil District Adventist Elementary School, Inc.",Zamboanga Sibugay,2nd District,Province of Zamboanga Sibugay,Municipality of Ipil,Barangay Sanito,7.78921,122.59386,19,25,19,27,20,16,29, -   , -   , -   , -   , -   , -   ,155
Region V,407001,Masbate Central Technical Institute,Masbate City,2ND ,MASBATE,MASBATE,F. MAGALLANES,123.62352,12.36357, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,40,40,80
Region XI,405422,"Maryknoll School of Manay, Inc.",Davao Oriental,Mati,Davao Oriental,Manay,Central,7.123711,126.322711,18,6,8,11,7,5,2,60,71,40,55,48,40,371
Region VII,404403,Cebu Sacred Heart College Inc.,Talisay City,I,Province of Cebu,City of Talisay,Barangay Lawaan I,14.57929,121.06494,13,15,14,23,17,24,9,31,16,26,23,23,13,247
Region XI,410289,"Davao Del Sur Institute of Languages and Technological College, Inc.",Digos City,Lone District,Province of Davao del Sur,City of Digos,Barangay San Roque,6.7818,125.28627, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,288,274,562
Region XI,406623,"Saver's Technological College of Davao, Inc.",Digos City,LONE,DAVAO DEL SUR,DIGOS CITY,BARANGAY ZONE II,6.7435,125.3552, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,240,240,480
Region IV-A (CALABARZON),424261,Southwoods School of Cavite,Imus City,District II,Province of Cavite,City of Imus,Alapan 1A,14.4233,120.9155,15,29,41,23,26,21,31,54,44,26,24,22,20,376
Region VII,403266,Cristal e-College Panglao Campus,Bohol,1,Province of Bohol,Municipality of Panglao,Barangay Tawala,9.588304,123.771835, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,50,50,100
Region IX,410940,"Love Haven Primary School, Inc.",Zamboanga Sibugay,1st District,Zamboanga Sibugay,Municipality of Alicia,Poblacion,14.57929,121.06494,120,120, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,240
Region VII,411325,"ECT EXCELLENCIA GLOBAL ACADEMY FOUNDATION, INC.",Cebu,District 1,Province of Cebu,Municipality of Tuburan,Barangay 8,10.7212619,123.8205277, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,252,250,502
Region IV-A (CALABARZON),424531,Palm Valley Multiple Intelligence School,Laguna,3rd District,Province of Laguna,Municipality of Alaminos,Barangay III,14.06847947,121.2448272,30,30,30,30,30,30,30,35,35,35,35,40,40,430
Region VII,404265,Holy Child Academy of Pitogo Bohol Inc.,Bohol,Second District,Province of Bohol,Pres. Carlos P. Garcia,Barangay Poblacion,10.12044,124.55347, -   , -   , -   , -   , -   , -   , -   ,65,70,70,50,80,100,435
Region IV-B (MIMAROPA),403496,Bagong Sikat Adventist Elementary School,Palawan,Narra District,Province of Palawan,Municipality of Narra,Barangay Bagong Sikat,9.37741,118.45186,12,10,10,10,10,10,10, -   , -   , -   , -   , -   , -   ,72
Region IV-A (CALABARZON),403321,"Canlubang Christian School, Inc.",Calamba City,Lone District,Province of Laguna,Calamba City,Barangay Mayapa,14.187671,121.125084,25,30,30,30,30,30,30,30,30,30,30, -   , -   ,325
Region IV-A (CALABARZON),402139,Imus Institute of Science and Technology,Imus City,Lone District 3,Province of Cavite,City of Imus,Poblacion IV-D,14.42678,120.93797,20,25,25,25,25,25,25,60,60,60,60,80,80,570
Region IV-A (CALABARZON),423512,"Schola Nazaria, Inc.",Batangas,Legislative District,Province of Batangas,City of Balayan,Barangay Caloocan,13.942348,120.727467,30,20,20,20,25,25,25, -   , -   , -   , -   , -   , -   ,165
Region V,402774,Camarines Norte School of Law,Camarines Norte,2ND DISTRICT,PROVINCE OF CAMARINES NORTE,MUNICIPALITY OF TALISAY,BARANGAY ITOMANG,14.12871,122.93483, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,20,20,40
Region XI,405391,"Nazareth High School of Bansalan, Inc.",Davao del Sur,Lone District,Province of Davao del Sur,Municipality of Bansalan,Barangay Poblacion Uno,6.778551,125.215684, -   , -   , -   , -   , -   , -   , -   ,257,222,197,194,205,211,1286
Region IV-A (CALABARZON),402107,Ann Marris Montessori School,Imus City,Lone District,Province of Cavite,City of Imus,Anabu II-F,14.35926,120.93342, -   ,8,8,8,8, -   ,6,6,6, -   ,3,6,10,69
Region IV-B (MIMAROPA),403486,Sea and Hills Adventist Refuge School,Palawan,Lone District,Province of Palawan,Municipality of Agutaya,Algeciras,1400000,1200000,10,10,15,12,14,24,24, -   , -   , -   , -   , -   , -   ,109
Region XI,466177,"Institucion Teresiana De Educacion Y Cultura, Inc. (Saint Pedro Poveda College)",Davao City,Talomo District,Province of Davao del Sur,City of Davao,Catalunan Pequeño,7.070102085,125.523585,50,40,70,35,35,70,35,35, -   , -   , -   , -   , -   ,370
Region IV-A (CALABARZON),411289,Jofel Fate Children of God Academy,Bacoor City,2nd,Cavite,Bacoor,Molino 3,14.39428,120.99157,30,30,30,30,30,30,30,0,0,0,0,0,0,210
Region V,433017,Lamp Foundational Learning Center,Camarines Norte,1st District ,Province of Camarines Norte,Municipality of Labo,Baranggay Bagong Silang 1 ,14.17395,122.62372,22, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,22
Region IV-A (CALABARZON),409089,"Alano Academe, Inc.",Imus City,DISTRICT 3,Province of Cavite,City of Imus,Alapan 1-A,14.41877,120.91807,10,10,10,10, -   , -   , -   , -   , -   , -   , -   , -   , -   ,40
Region VII,404362,"Perpetual Succour Academy, Inc.",Cebu,Malabuyoc District,Province of Cebu,Municipality of Malabuyoc,Barangay Poblacion Dos,9.65291,123.3247, -   , -   , -   , -   , -   , -   , -   ,50,50,50,50,100,100,400
Region XI,465013,Brighter Beginnings Learning Center of Bansalan Inc,Davao del Sur,Lone District,Province of Davao del Sur ,Municipality of Bansalan ,Barangay Poblacion Dos ,6.791609,125.216924,40,30,30,25,20,30,20, -   , -   , -   , -   , -   , -   ,195
Region XI,405443,Davao Marianne Preschool Inc,Davao City,District 1,Davao Del Sur,Davao City,32-D,7.067959,125.616749,40, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,40
Region IV-A (CALABARZON),423508,"Grand Prairie Learning School-GLPS, Inc.",Batangas,Lian District,Province of Batangas,Municipality of Lian,Brgy Malaruhatan,13.9958085,120.649251,24,32,25,21,21,24,12, -   , -   , -   , -   , -   , -   ,159
Region IV-A (CALABARZON),424119,Charis Christian Institute (Imus) Inc.,Imus City,3,Cavite,Imus,Pinagbuklod ,14.4,120.96,30,26,32,27,22,16,30,25,29,27,33, -   , -   ,297
Region IV-A (CALABARZON),428528,"Saints John & Paul Educational Foundation, Inc.",Calamba City,Lone District,Province of Laguna,City of Calamba,Barangay Halang,14.1982526,121.1616982, -   , -   , -   , -   , -   , -   , -   ,32,20,24,18,185,118,397
Region VII,404303,St. Francis Academy,Cebu,District I,Province of Cebu,Municipality of Balamban,Barangay Sto. Niño-Sta. Cruz,10.50877,123.71423, -   , -   , -   , -   , -   , -   , -   ,274,241,191,200,166,154,1226
Region IX,404925,Ateneo De Zamboanga,Zamboanga City,DISTRICT 1,ZAMBOANGA DEL SUR,ZAMBOANGA CITY,ZONE III,6.91031,122.07607,120,240,240,240,240,280,200,360,360,360,320,851,805,4616
Region IV-B (MIMAROPA),429511,Hosea Christian Mission School,Occidental Mindoro,Lone District,Province of Occidental Mindoro,Municipality of Mamburao,Barangay Payompon,13.2164889,120.6041712,150, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,150
Region VII,409351,"Dimiao Christian Academy, Inc.",Bohol,3,Bohol,DIMIAO,"Taongon, Can-andam",9.60839,129.17079,12, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,12
Region XI,409383,"Toyozu Technical School Foundation, Inc.",Davao City,I,Province of Davao Del Sur,City of Davao,Barangay Paciano Bangoy,7.088,125.618, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,25,21,46
Region IV-A (CALABARZON),423540,"SWISS Montessori School, Inc.",Batangas,First District,Batangas,Municipality of Lemery,Barangay Wawa Ilaya,13.87631,120.91575,27,41,40,34,23,17,14,51,42,39,33,104,104,569
Region XI,464022,"Maragusan Seventh Day Adventist Learning Center, Inc.",Davao De Oro,1st District,Province of Davao de Oro,Municipality of Maragusan,Barangay Poblacion,7.31663527,1.23E+13,30, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,30
Region IV-A (CALABARZON),428537,Smart Kids Integrated School-VDC Inc.,Calamba City,Lone District ,Province of Laguna,City of Calamba ,Barangay La Mesa,14.19,121.16057,36,31,33,24,27,22,16, -   , -   , -   , -   , -   , -   ,189
Region VII,447059,"Cebu Northplains College, Inc.",Cebu,5th district ,Province of Cebu,Municipality of Catmom,Barangay Tinibgan,6215,180, -   , -   ,1,1, -   , -   ,1,1,1,1,1,1,1,9
Region III,410536,Vung Tau Kiddie Group Learning Academy Inc,Malolos City,1,Province of Bulacan,City of Malolos,Barangay Bulihan,14.85103,120.80738,20,20,25,25,25,25,25, -   , -   , -   , -   , -   , -   ,165
Region XI,405340,"Maryknoll High School of Asuncion, Inc.",Davao del Norte,Asuncion,Davao del Norte,Asuncion,Cambanogoy,7.5416,125.75212, -   , -   , -   , -   , -   , -   , -   ,52,48,42,61,46,55,304
Region XI,405479,Rizal Memorial Colleges,Davao City,District 1,Provice of Davao,DAVAO CITY,Barangay 8-A ,14.57929,121.06494,35,35,35,35,35,35,35,50,50,50,50,750,750,1945
Region XI,405491,"St. Patrick Math-Sci School, Inc.",Davao City,2ND DISTRICT,PROVINCE OF DAVAO DEL SUR,CITY OF DAVAO,BARANGAY ALFONSO ANGLIONGTO SR.,7.12298,125.63818,30,30,30,30,30,30,30,30,30,30,30,30,30,390
Region IV-A (CALABARZON),402025,Colegio De Santo Domingo De Silos,Batangas,1ST DISTRICT,Province of Batangas,Municipality of Calatagan,Barangay Gulod,13.8736449,120.6322927, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,200,200,400
Region IX,404960,Immaculate Conception Archdiocesan School de Calarian,Zamboanga City,District 1,Zamboanga del sur,City of zamboanga,Barangay Calarian,6.92131,122.04475,35,35,35,35,35,35,35,35,35,35,35,35,35,455
Region XI,407246,"Global Systems Institute of Tecnology, Inc.",Davao del Sur,1,Davao del Sur,Bansalan,Poblacion Uno,6.777826,125.218477, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,105,105,210
Region VII,446543,"Panglao Christian Academy, Inc.",Bohol,District I,Province of Bohol,Municipality of Panglao,Barangay Lourdes,9.5889401,123.7922334,10,3,2,5,9,9,5,5,5,5,5,5,5,73
Region IX,407790,"Katipunan Adventist  Learning Center, Inc.",Zamboanga del Norte,Katipunan District 2,Provinve of Zamboanga del Norte,Katipunan,Brgy. Uno,8.5112571,123.2803506,40,30,32,23,22,16,18, -   , -   , -   , -   , -   , -   ,181
Region VII,447040,"Christian Learning Center of Argao, Cebu, Inc.",Cebu,CEBU 2ND DISTRICT,PROVINCE OF CEBU,MUNICIPALITY OF ARGAO,BARANGAY POBLACION,9.883782303,123.6060892,35,35,35,35,35,35,35,55,55,55,55,150,180,795
Region VII,441503,"Bago Siloam Faith Institute, Inc.",Bago City,5th district,Province if Cebu,City of Danao ,Sabang,10.49498,124.029107,20,22,20,16,16,15,16,48,40,40,35,450,450,1188
Region IV-A (CALABARZON),424082,"Groeien Learning Center, Inc.",Imus City,3rd,Cavite,Imus City,Barangay Alapan 1A,14.4240395,120.917761,16,30,30,30,30,30,30, -   , -   , -   , -   , -   , -   ,196
Region XI,466091,"Ananda Marga Special Academic Institution (AMSAI) - Maharlika, Inc.",Davao City,District II,Province of Davao Del Sure,City of Davao,Barangay Cabantian,7.1427,125.5996,80,100,100,100,90,70,70,80,80,80,80,225,135,1290
Region XI,408821,Southeastern Mindanao Institute of Technology (SMIT) Inc.,Davao City,3,Province of Davao Del Sur,City of Davao,Barangay Bato,7.0283,125.4829, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,4,4,8
