SchoolID,School.Name,Region,Division,Modified.COC,TrackOffering,TrackOffering.Intended,Typology,SHS.Enrolment,ClassesOrganized,TeacherRequirement,JHSTeachers,SHSTeachers,English,Filipino,Science,Mathematics,Araling.Panlipunan,Agriculture,Biological.Sciences,NA,ECE,ESP,General.Ed,MAPEH,Physical.Sciences,SPED,TLE,SHS.Packages
302542,OTON NATIONAL HIGH SCHOOL,REGION VI,ILOILO,JHS with SHS,Acad and TechVoc,Acad and TechPro,Very Large,2121,55,83,155,76,17,7,4,9,5,1,8,0,0,0,0,7,3,0,10,"Automotive Servicing (NC I), Bread and Pastry Production (NC II), Computer Systems Servicing (NC II), Electrical Installation and Maintenance (NC II), Food and Beverage Services (NC II), Hairdressing (NC II)"
302555,POLOPIÑA NHS,REGION VI,ILOILO,JHS with SHS,Academic,Acad and TechPro,Small,156,5,8,17,6,2,3,1,2,3,0,0,0,0,0,0,0,0,0,0,NA
302569,SAN RAFAEL NHS (SAN RAFAEL),REGION VI,ILOILO,JHS with SHS,Acad and TechVoc,Acad and TechPro,Large,702,20,30,60,26,6,1,2,7,0,0,0,0,0,0,0,0,2,0,5,"Agricultural Crops Production (NC II), Bread and Pastry Production (NC II), Cookery (NC II), Dressmaking (NC II), Electronic Products Assembly and Servicing (NC II), Food and Beverage Services (NC II), Housekeeping (NC II), Wellness Massage (NC II)"
302570,SARA NHS,REGION VI,ILOILO,JHS with SHS,Acad and TechVoc,Acad and TechPro,Large,1186,32,48,90,46,12,3,5,7,4,0,4,0,0,0,0,1,0,0,7,"Agricultural Crops Production (NC I), Agricultural Crops Production (NC II), Bread and Pastry Production (NC II), Electrical Installation and Maintenance (NC II), Food and Beverage Services (NC II)"
302574,STA. RITA NATIONAL HIGH SCHOOL,REGION VI,ILOILO,JHS with SHS,Academic,Acad and TechPro,Medium,186,6,9,20,7,2,0,1,2,2,0,0,0,0,0,0,0,0,0,1,NA
302586,AGPANGI NHS,REGION VI,NEGROS OCCIDENTAL,JHS with SHS,Acad and TechVoc,Acad and TechPro,Small,114,4,6,13,8,1,0,0,2,2,0,1,0,0,0,0,1,0,0,1,"Handicraft- Basketry Macrame, Handicraft- Fashion Accessories Paper Craft, Handicraft- Needlecraft, Handicraft- Woodcraft Leathercraft"
302587,AGUISAN NHS,REGION VI,HIMAMAYLAN CITY,JHS with SHS,Acad and TechVoc,Acad and TechPro,Large,395,12,18,42,18,2,1,2,3,2,1,1,0,0,0,0,0,0,0,2,NA
302589,ANDULAUAN NHS,REGION VI,NEGROS OCCIDENTAL,JHS with SHS,Academic,Academic,Very Small,282,8,12,25,11,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,NA
302590,ILOG NATIONAL HIGH SCHOOL,REGION VI,NEGROS OCCIDENTAL,JHS with SHS,Acad and TechVoc,Acad and TechPro,Medium,#N/A,NA,NA,#N/A,#N/A,3,0,3,1,0,0,0,0,0,0,0,1,0,0,2,"Bread and Pastry Production (NC II), Cookery (NC II), Food and Beverage Services (NC II)"
302591,ANTIPOLO NATIONAL HIGH SCHOOL,REGION VI,NEGROS OCCIDENTAL,JHS with SHS,Acad and TechVoc,Academic,Large,405,12,18,43,16,4,2,1,3,0,0,1,0,0,0,0,2,1,0,2,"Beauty/ Nail Care (NC II), Bread and Pastry Production (NC II), Cookery (NC II), Food and Beverage Services (NC II), Hairdressing (NC II)"
302592,BIAO NATIONAL HIGH SCHOOL,REGION VI,NEGROS OCCIDENTAL,JHS with SHS,Acad and TechVoc,Acad and TechPro,Medium,224,7,11,25,8,3,0,0,1,2,0,1,0,0,0,0,0,0,0,2,Agricultural Crops Production (NC II)
302593,BOCANA NHS,REGION VI,NEGROS OCCIDENTAL,JHS with SHS,Acad and TechVoc,Acad and TechPro,Medium,302,9,14,35,19,2,1,2,1,2,0,0,0,0,0,0,2,0,0,0,"Attractions and Theme Parks (NC II), Front Office Services (NC II), Housekeeping (NC II), Local Guiding Services (NC II)"
302594,GALICIA NATIONAL HIGH SCHOOL,REGION VI,NEGROS OCCIDENTAL,JHS with SHS,Acad and TechVoc,Acad and TechPro,Small,#N/A,NA,NA,#N/A,#N/A,3,1,1,1,1,0,3,0,0,0,0,0,0,0,1,NA
302597,BUG-ANG NATIONAL HIGH SCHOOL,REGION VI,NEGROS OCCIDENTAL,JHS with SHS,Acad and TechVoc,Acad and TechPro,Medium,242,8,12,25,12,2,1,2,2,1,0,2,0,0,0,0,0,0,0,0,Shielded Metal Arc Welding (NC I and NC II)
302598,BULATA NHS,REGION VI,NEGROS OCCIDENTAL,JHS with SHS,Academic,Academic,Medium,177,5,8,17,5,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,NA
302605,CAMALANDA-AN NHS,REGION VI,NEGROS OCCIDENTAL,JHS with SHS,Academic,Academic,Medium,234,7,11,23,8,3,1,1,1,1,0,0,0,0,0,0,1,0,0,1,NA
302606,CANINGAY NHS,REGION VI,NEGROS OCCIDENTAL,JHS with SHS,Acad and TechVoc,Acad and TechPro,Medium,293,10,15,30,17,2,2,0,1,0,2,1,0,0,0,0,2,1,0,0,Computer Systems Servicing (NC II)
302607,CANINGAY NHS - BANGA EXT.,REGION VI,NEGROS OCCIDENTAL,JHS with SHS,Acad and TechVoc,Acad and TechPro,Small,#N/A,NA,NA,#N/A,#N/A,2,1,1,1,0,0,0,0,0,0,0,0,0,0,2,"Bread and Pastry Production (NC II), Cookery (NC II), Food and Beverage Services (NC II)"
302608,QUIRICO G. MANZANO NHS,REGION VI,NEGROS OCCIDENTAL,JHS with SHS,Acad and TechVoc,Acad and TechPro,Large,426,12,18,28,15,3,3,1,2,5,0,0,0,0,0,0,2,0,0,3,"Agricultural Crops Production (NC I), Bread and Pastry Production (NC II), Cookery (NC II), Food and Beverage Services (NC II), Organic Agriculture (NC II), Technical Drafting (NC II)"
302609,CANSILAYAN FARM SCHOOL,REGION VI,NEGROS OCCIDENTAL,JHS with SHS,Acad and TechVoc,Acad and TechPro,Medium,290,9,14,30,13,4,1,1,1,1,2,0,0,0,0,0,0,2,0,2,"Agricultural Crops Production (NC I), Beauty/ Nail Care (NC II), Computer Systems Servicing (NC II), Hairdressing (NC II), Organic Agriculture (NC II), Wellness Massage (NC II)"
302611,CATALINO SOLIGUEN NHS,REGION VI,NEGROS OCCIDENTAL,JHS with SHS,Acad and TechVoc,Acad and TechPro,Medium,171,6,9,18,9,2,1,1,3,0,0,0,0,0,1,0,1,0,0,3,"Agricultural Crops Production (NC I), Organic Agriculture (NC II)"
302612,CAUAYAN NATIONAL HIGH SCHOOL,REGION VI,NEGROS OCCIDENTAL,JHS with SHS,Acad and TechVoc,Acad and TechPro,Large,636,18,27,55,21,3,2,2,4,1,0,1,0,0,1,0,3,0,0,3,"Computer Systems Servicing (NC II), Electrical Installation and Maintenance (NC II), Electronic Products Assembly and Servicing (NC II)"
302619,DR. ANTONIO A. LIZARES NHS,REGION VI,NEGROS OCCIDENTAL,JHS with SHS,Acad and TechVoc,Acad and TechPro,Large,505,15,23,58,18,2,0,2,3,1,0,1,0,0,0,0,1,0,0,2,"Bread and Pastry Production (NC II), Cookery (NC II), Food and Beverage Services (NC II)"
302621,ENRIQUE B. MAGALONA NHS,REGION VI,NEGROS OCCIDENTAL,JHS with SHS,Acad and TechVoc,Acad and TechPro,Very Large,1844,48,72,152,54,9,3,4,5,6,0,0,0,0,0,0,4,0,0,8,"Bread and Pastry Production (NC II), Computer Systems Servicing (NC II), Cookery (NC II), Food and Beverage Services (NC II), Housekeeping (NC II), Local Guiding Services (NC II), Shielded Metal Arc Welding (NC II)"
302622,ENRIQUE B. MAGALONA NHS - CONSING EXT.,REGION VI,NEGROS OCCIDENTAL,JHS with SHS,Academic,Academic,Small,#N/A,NA,NA,#N/A,#N/A,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,NA
302624,ENRIQUETA MONTILLA DE ESTEBAN MHS,REGION VI,NEGROS OCCIDENTAL,JHS with SHS,Acad and TechVoc,Acad and TechPro,Large,725,21,32,65,27,2,4,4,6,2,0,0,0,0,1,0,0,0,0,6,"Computer Systems Servicing (NC II), Contact Center Services (NC II), Shielded Metal Arc Welding (NC I and NC II)"
